Offices,,,,,,,,,,,
Office Name,Office Type,Level,Jurisdiction,Address,Official Phone,Official Email,Coverage,Status,Verification Status,Last Verified,Source URL
Directorate of Municipal Administration,State Urban Governance Office,State,Municipal councils and nagar panchayats,Mumbai / official address to verify,Official portal,Official portal,Statewide,Active,Partially verified,2026-07-13,https://mahadma.maharashtra.gov.in/en/home/
State Emergency Operation Centre,Emergency Operations Centre,State,Disaster coordination,Mumbai,9321587143,controlroom@maharashtra.gov.in,Statewide,Active,Verified,2026-07-13,https://sdma.maharashtra.gov.in/en/
Mumbai City Collectorate,District Collectorate,District,Mumbai City,District HQ,District portal,District portal,Mumbai City,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Mumbai Suburban Collectorate,District Collectorate,District,Mumbai Suburban,District HQ,District portal,District portal,Mumbai Suburban,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Thane Collectorate,District Collectorate,District,Thane,District HQ,District portal,District portal,Thane,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Palghar Collectorate,District Collectorate,District,Palghar,District HQ,District portal,District portal,Palghar,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Raigad Collectorate,District Collectorate,District,Raigad,District HQ,District portal,District portal,Raigad,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Ratnagiri Collectorate,District Collectorate,District,Ratnagiri,District HQ,District portal,District portal,Ratnagiri,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Sindhudurg Collectorate,District Collectorate,District,Sindhudurg,District HQ,District portal,District portal,Sindhudurg,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Pune Collectorate,District Collectorate,District,Pune,District HQ,District portal,District portal,Pune,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Satara Collectorate,District Collectorate,District,Satara,District HQ,District portal,District portal,Satara,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Sangli Collectorate,District Collectorate,District,Sangli,District HQ,District portal,District portal,Sangli,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Solapur Collectorate,District Collectorate,District,Solapur,District HQ,District portal,District portal,Solapur,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Kolhapur Collectorate,District Collectorate,District,Kolhapur,District HQ,District portal,District portal,Kolhapur,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Nashik Collectorate,District Collectorate,District,Nashik,District HQ,District portal,District portal,Nashik,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Dhule Collectorate,District Collectorate,District,Dhule,District HQ,District portal,District portal,Dhule,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Nandurbar Collectorate,District Collectorate,District,Nandurbar,District HQ,District portal,District portal,Nandurbar,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Jalgaon Collectorate,District Collectorate,District,Jalgaon,District HQ,District portal,District portal,Jalgaon,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Ahilyanagar Collectorate,District Collectorate,District,Ahilyanagar,District HQ,District portal,District portal,Ahilyanagar,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Chhatrapati Sambhajinagar Collectorate,District Collectorate,District,Chhatrapati Sambhajinagar,District HQ,District portal,District portal,Chhatrapati Sambhajinagar,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Jalna Collectorate,District Collectorate,District,Jalna,District HQ,District portal,District portal,Jalna,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Beed Collectorate,District Collectorate,District,Beed,District HQ,District portal,District portal,Beed,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Dharashiv Collectorate,District Collectorate,District,Dharashiv,District HQ,District portal,District portal,Dharashiv,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Latur Collectorate,District Collectorate,District,Latur,District HQ,District portal,District portal,Latur,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Nanded Collectorate,District Collectorate,District,Nanded,District HQ,District portal,District portal,Nanded,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Parbhani Collectorate,District Collectorate,District,Parbhani,District HQ,District portal,District portal,Parbhani,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Hingoli Collectorate,District Collectorate,District,Hingoli,District HQ,District portal,District portal,Hingoli,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Amravati Collectorate,District Collectorate,District,Amravati,District HQ,District portal,District portal,Amravati,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Akola Collectorate,District Collectorate,District,Akola,District HQ,District portal,District portal,Akola,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Washim Collectorate,District Collectorate,District,Washim,District HQ,District portal,District portal,Washim,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Buldhana Collectorate,District Collectorate,District,Buldhana,District HQ,District portal,District portal,Buldhana,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Yavatmal Collectorate,District Collectorate,District,Yavatmal,District HQ,District portal,District portal,Yavatmal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Nagpur Collectorate,District Collectorate,District,Nagpur,District HQ,District portal,District portal,Nagpur,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Wardha Collectorate,District Collectorate,District,Wardha,District HQ,District portal,District portal,Wardha,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Bhandara Collectorate,District Collectorate,District,Bhandara,District HQ,District portal,District portal,Bhandara,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Gondia Collectorate,District Collectorate,District,Gondia,District HQ,District portal,District portal,Gondia,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Chandrapur Collectorate,District Collectorate,District,Chandrapur,District HQ,District portal,District portal,Chandrapur,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Gadchiroli Collectorate,District Collectorate,District,Gadchiroli,District HQ,District portal,District portal,Gadchiroli,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
