Complaint Routing,,,,,,,,,,,
Rule ID,Issue,Primary Department/Agency,First Recipient Role,Escalation 1,Escalation 2,Ownership Condition,Priority/Emergency,Routing Logic,Status,Last Verified,Notes
MH-R-001,Garbage dump,Solid Waste Management,Sanitary Inspector / SWM Supervisor,Ward Officer / Health Officer,Municipal Commissioner / Chief Officer / Panchayat Secretary,ULB/Gram Panchayat,No,Resolve GPS → district → local body → ward → asset owner → department,Active,2026-07-13,Official department/local-body mapping required
MH-R-002,Missed sweeping,Sanitation,Sanitation Supervisor / Health Inspector,Ward Officer / MOH,Commissioner / Chief Officer,ULB/Gram Panchayat,No,Resolve GPS → district → local body → ward → asset owner → department,Active,2026-07-13,Official department/local-body mapping required
MH-R-003,Pothole,Roads / Engineering / PWD / NHAI / MSRDC,Junior Engineer / Road Inspector,Assistant/Executive Engineer,Chief Engineer / Commissioner / Project Director,Asset owner required,Conditional,Resolve GPS → district → local body → ward → asset owner → department,Active,2026-07-13,Official department/local-body mapping required
MH-R-004,Sewage overflow,Sewerage / PHED / MJP,Sewer Inspector / JE,AE / Executive Engineer,Chief Engineer / Commissioner,Utility/ULB,High,Resolve GPS → district → local body → ward → asset owner → department,Active,2026-07-13,Official department/local-body mapping required
MH-R-005,Storm-water blockage,Storm Water Drain / Engineering,Drain Inspector / JE,AE / Ward Officer,Commissioner / DDMA,ULB/Irrigation,High,Resolve GPS → district → local body → ward → asset owner → department,Active,2026-07-13,Official department/local-body mapping required
MH-R-006,Water leakage,Water Supply / Hydraulic / MJP,Valve Operator / JE,AE / Executive Engineer,Chief Engineer / Commissioner,Utility owner,High,Resolve GPS → district → local body → ward → asset owner → department,Active,2026-07-13,Official department/local-body mapping required
MH-R-007,Broken streetlight,Electrical / Street Lighting / MSEDCL,Electrician / Inspector,Electrical AE/Engineer,Executive Engineer / Commissioner,Asset owner,Conditional,Resolve GPS → district → local body → ward → asset owner → department,Active,2026-07-13,Official department/local-body mapping required
MH-R-008,Fallen tree,Garden / Tree Authority / Disaster Management,Garden Inspector / Tree Officer,Horticulture Officer / Ward Officer,Commissioner / DDMA,ULB/Forest,High,Resolve GPS → district → local body → ward → asset owner → department,Active,2026-07-13,Official department/local-body mapping required
MH-R-009,Illegal construction,Building Proposal / Town Planning / Enforcement,Building Inspector,Building Officer / ATP,Commissioner / Planning Authority,Planning jurisdiction,No,Resolve GPS → district → local body → ward → asset owner → department,Active,2026-07-13,Official department/local-body mapping required
MH-R-010,Stray animal,Veterinary / Animal Husbandry,Veterinary Inspector / Catching Team,Veterinary Officer,Chief Veterinary Officer / Commissioner,ULB/Block,Conditional,Resolve GPS → district → local body → ward → asset owner → department,Active,2026-07-13,Official department/local-body mapping required
MH-R-011,Mosquito breeding,Public Health / Pest Control,Health Inspector / Pest Control Officer,MOH / Ward Officer,Chief Health Officer / Commissioner,ULB/Health,High,Resolve GPS → district → local body → ward → asset owner → department,Active,2026-07-13,Official department/local-body mapping required
MH-R-012,Encroachment,Ward Enforcement / Estate / Revenue,Enforcement Inspector,Ward/Estate Officer,Commissioner / Collector,Land owner,No,Resolve GPS → district → local body → ward → asset owner → department,Active,2026-07-13,Official department/local-body mapping required
MH-R-013,Traffic signal,Traffic Police / Traffic Engineering,Signal Technician / Traffic Inspector,Traffic Engineer / ACP-DSP,DCP-SP Traffic / Commissioner,Junction owner,High,Resolve GPS → district → local body → ward → asset owner → department,Active,2026-07-13,Official department/local-body mapping required
MH-R-014,Open manhole,Sewerage / Roads / Disaster Cell,Sewer Inspector / JE,AE / Ward Officer,Executive Engineer / Commissioner,ULB/utility,Emergency hazard,Resolve GPS → district → local body → ward → asset owner → department,Active,2026-07-13,Official department/local-body mapping required
MH-R-015,Waterlogging,Storm Water / Disaster Management,JE / Drain Inspector,AE / Ward Officer,Commissioner / Collector,ULB/DDMA,High,Resolve GPS → district → local body → ward → asset owner → department,Active,2026-07-13,Official department/local-body mapping required
MH-R-016,Fire hazard,Fire & Emergency Services,Fire Station Officer,Divisional Fire Officer,Chief Fire Officer / Collector,Fire jurisdiction,Emergency 112/101,Resolve GPS → district → local body → ward → asset owner → department,Active,2026-07-13,Official department/local-body mapping required
MH-R-017,Electrical hazard,MSEDCL / Electrical / ULB,Lineman / Field Engineer,Assistant Engineer,Executive Engineer / Control Room,Licensee area,Emergency,Resolve GPS → district → local body → ward → asset owner → department,Active,2026-07-13,Official department/local-body mapping required
MH-R-018,Industrial pollution,MPCB / Environment,Environmental Engineer / Inspector,Regional Officer,Member Secretary MPCB,MPCB region,High,Resolve GPS → district → local body → ward → asset owner → department,Active,2026-07-13,Official department/local-body mapping required
