Utilities,,,,,,,,
Utility/Agency,Function,Jurisdiction,Complaint Types,Where to Report,Local Office,Escalation Role,Official Source,Routing Notes
Maharashtra State Electricity Distribution Co. Ltd. (MSEDCL),Electricity distribution,Statewide excluding other licensee areas,"Power outage, live wire, transformer, pole",1912 / official channels,MSEDCL portal/app,Regional/division office,https://www.mahadiscom.in/,Verify local subdivision before routing
Maharashtra Jeevan Pradhikaran (MJP),Water supply and sewerage projects,Statewide/project areas,"Water supply, schemes, sewerage",Official portal,MJP regional office,Chief Engineer/Regional office,https://mjp.maharashtra.gov.in/,Ownership depends on scheme
Public Works Department Maharashtra,State roads and government buildings,Statewide,"State roads, bridges, public buildings",Official portal/district PWD office,PWD division,Executive Engineer,https://pwd.maharashtra.gov.in/,Confirm road ownership
Maharashtra State Road Development Corporation,Expressways and designated road assets,Project corridors,Expressway/bridge/road asset issues,Official portal/control room,Project office/concessionaire,Project Director,https://msrdc.in/,Confirm concessionaire
Maharashtra Industrial Development Corporation,Industrial areas and estates,MIDC areas,"Roads, drains, water, streetlights in MIDC",Official MIDC portal/area office,Regional/area office,Area Manager / Executive Engineer,https://www.midcindia.org/,MIDC jurisdiction overrides nearby ULB
Maharashtra Pollution Control Board,Pollution regulation,Regional offices statewide,"Industrial pollution, air, water, hazardous waste, noise",MPCB complaint channels,Regional office,Regional Officer,https://mpcb.gov.in/,Use municipality for routine waste; MPCB for regulated pollution
National Highways Authority of India,National highways,NH corridors,"Potholes, signs, barriers, highway safety",1033 / official portal,PIU/concessionaire,Project Director,https://nhai.gov.in/,Confirm highway chainage
Maharashtra Metro Rail Corporation,Metro assets,Nagpur/Pune and project areas,"Station, viaduct, metro premises",Official metro channels,Station/control room,Operations control,https://www.mahametro.org/,Special jurisdiction
Mumbai Metropolitan Region Development Authority,Regional infrastructure,MMR project areas,"Roads, flyovers, metro, planning assets",Official portal,Project/department office,Metropolitan Commissioner/department,https://mmrda.maharashtra.gov.in/,Asset-specific routing
City water/sewer utilities,Municipal/board utilities,City-specific,"Water leakage, supply, sewerage",City portal/helpline,Ward/division office,Hydraulic/Water Engineer,Municipal source required,"Examples: BMC Hydraulic, Pune Water Dept, OCW Nagpur"
