Maharashtra Governance Master — Phase 2 Research Workbook,,,,,,,
,,,,,,,
Purpose,"Structured Phase 2 reference workbook for Maharashtra governance, local bodies, officer roles, offices, utilities and complaint routing.",,,,,,
Generated,2026-07-13,,,,,,
Coverage,"36 districts, 6 revenue divisions, district/taluka baseline, 29 municipal corporations, a large municipal council and nagar panchayat baseline, major-city ward placeholders, departments, officer roles, offices, emergency contacts, utilities and routing rules.",,,,,,
Data quality model,"Stable administrative structures are populated. Rapidly changing names, ward contacts, phone numbers and officer assignments are marked for extraction or verification.",,,,,,
Production warning,Do not import named officer/contact records into production without checking the official source and verification date.,,,,,,
Primary identifiers,Use LGD codes for state/district/taluka/local-body/village/ward records when Phase 2 ingestion begins.,,,,,,
Routing principle,GPS polygon + issue category + asset ownership + active department mapping + active officer-role assignment.,,,,,,
Municipal count note,"DMA states Maharashtra currently has 424 ULBs; the workbook provides official corporation coverage and a substantial council/nagar-panchayat research baseline, not a claim of every active local contact.",,,,,,
Gram Panchayat note,Full statewide GP and village lists should be bulk-loaded from LGD/eGramSwaraj during Phase 2.,,,,,,
Ward note,Ward records are placeholders for priority cities until official ward directories and GIS boundaries are imported.,,,,,,
Officer note,Roles are durable; officer names and assignments must be versioned separately.,,,,,,
Emergency note,Immediate threats must direct users to 112/101/108 rather than rely on an ordinary complaint ticket.,,,,,,
Suggested Phase 2 order,1) LGD import; 2) municipality/ward polygons; 3) department mappings; 4) role assignments; 5) official contacts; 6) asset ownership; 7) routing tests.,,,,,,
Verification values,Verified / Partially verified / Needs contact extraction / Template seed / Placeholder,,,,,,
