Emergency Contacts,,,,,,,,
Service,Issue Type,Jurisdiction,Contact,Availability,Action,Verification Status,Last Verified,Source URL
Universal Emergency,"Police, fire and medical integration",Statewide,112,24x7,Call immediately,Verified,2026-07-13,https://sdma.maharashtra.gov.in/en/
Ambulance / Maharashtra Emergency Medical Services,Medical emergency,Statewide,108,24x7,Call immediately,Verified,2026-07-13,https://phd.maharashtra.gov.in/en/scheme/maharashtra-emergency-medical-services-mems/
Disaster Response and Relief,Disaster assistance,Statewide,1070,24x7,State disaster response,Verified,2026-07-13,https://sdma.maharashtra.gov.in/en/
District Emergency Operation Centre,District disaster response,Each district,1077 / district-specific,24x7 during emergencies,Use district directory,Verified framework; local number varies,2026-07-13,https://sdma.maharashtra.gov.in/en/districts-imp-contact-numbers-for-landing-page-of-website/
State Emergency Operation Centre,State disaster coordination,Statewide,9321587143,24x7 during emergencies,Control room,Verified,2026-07-13,https://sdma.maharashtra.gov.in/en/
Police,Police emergency,Statewide,100 / 112,24x7,Call immediately,Verified,2026-07-13,https://sdma.maharashtra.gov.in/en/
Fire Service,Fire emergency,Statewide/local fire brigade,101 / 112,24x7,Call immediately,Verified,2026-07-13,https://raigad.gov.in/en/helpline/
Women Helpline,Women in distress,Statewide,1091,24x7,Call official helpline,Verified,2026-07-13,https://maharashtrasadan.maharashtra.gov.in/en/
Child Helpline,Children in distress,Statewide,1098,24x7,Call official helpline,Verified,2026-07-13,https://maharashtrasadan.maharashtra.gov.in/en/
Cyber Crime,Financial/cyber fraud,Statewide,1930,24x7,Call promptly for financial fraud,Verified,2026-07-13,https://raigad.gov.in/en/helpline/
Railway Accident,Railway emergency,Railway network,1072,24x7,Call railway emergency,Verified,2026-07-13,https://raigad.gov.in/en/helpline/
Medical Advice,Government medical advice,Statewide,104,24x7 / service dependent,Call official service,Verified,2026-07-13,https://raigad.gov.in/en/helpline/
