taxonomy_code,primary_code,name,workflow_type,sensitivity_class,route_mode,routing_profile_code,routing_status,submission_available,handoff_action_keys
SWM-001,SWM,Garbage dump,PUBLIC_HEALTH,PUBLIC,specialized_ward,garbage_dump,mapped,true,
SWM-002,SWM,Overflowing public dustbin,SERVICE_FAILURE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
SWM-003,SWM,Missed door-to-door waste collection,SERVICE_FAILURE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
SWM-004,SWM,Missed road or street sweeping,SERVICE_FAILURE,PUBLIC,specialized_ward,missed_sweeping,mapped,true,
SWM-005,SWM,"Littered street, lane, or public place",PUBLIC_HEALTH,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
SWM-006,SWM,Construction and demolition waste dumping,ENFORCEMENT,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
SWM-007,SWM,Illegal waste burning,ENVIRONMENTAL,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
SWM-008,SWM,Biomedical waste in a public area,PUBLIC_HEALTH,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
SWM-009,SWM,Hazardous or chemical waste dumping,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
SWM-010,SWM,Dead animal carcass removal,PUBLIC_HEALTH,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
SWM-011,SWM,Unclean public toilet,FACILITY_SERVICE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
SWM-012,SWM,Public toilet without water,FACILITY_SERVICE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
SWM-013,SWM,Public toilet without lighting or electricity,FACILITY_SERVICE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
SWM-014,SWM,Market waste accumulation,PUBLIC_HEALTH,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
SWM-015,SWM,Commercial establishment dumping waste,ENFORCEMENT,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
SWM-016,SWM,Garden or leaf waste not collected,SERVICE_FAILURE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
SWM-017,SWM,Plastic-waste hotspot,ENVIRONMENTAL,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
SWM-018,SWM,E-waste dumped in a public place,ENVIRONMENTAL,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
SWM-019,SWM,Bulk waste not collected,SERVICE_FAILURE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
SWM-020,SWM,Waste collection vehicle leakage or spillage,PUBLIC_HEALTH,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
RDS-001,RDS,Pothole or damaged municipal road,MAINTENANCE,PUBLIC,specialized_ward,pothole,mapped,true,
RDS-002,RDS,Road cave-in or sinking road,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
RDS-003,RDS,Uneven or broken road surface,MAINTENANCE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
RDS-004,RDS,Damaged footpath or pavement,MAINTENANCE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
RDS-005,RDS,Missing or broken kerb,MAINTENANCE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
RDS-006,RDS,Incomplete road excavation or trench,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
RDS-007,RDS,"Loose gravel, rubble, or debris on the road",SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
RDS-008,RDS,Damaged road divider or median,MAINTENANCE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
RDS-009,RDS,Missing or broken street-name sign,MAINTENANCE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
RDS-010,RDS,Missing or damaged road-safety sign,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
RDS-011,RDS,Faded lane markings,MAINTENANCE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
RDS-012,RDS,Faded or unsafe pedestrian crossing,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
RDS-013,RDS,Damaged or unauthorized speed breaker,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
RDS-014,RDS,Damaged guardrail or crash barrier,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
RDS-015,RDS,Bridge or flyover surface damage,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
RDS-016,RDS,Subway or underpass structural damage,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
RDS-017,RDS,Damaged pedestrian railing or bollard,MAINTENANCE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
RDS-018,RDS,Accessibility ramp or tactile-paving problem,MAINTENANCE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
RDS-019,RDS,Damaged cycle-track surface,MAINTENANCE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
RDS-020,RDS,Road shoulder or roadside-edge erosion,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
DRN-001,DRN,Blocked storm-water drain,MAINTENANCE,PUBLIC,specialized_ward,blocked_drain,mapped,true,
DRN-002,DRN,Sewage overflow,PUBLIC_HEALTH,PUBLIC,specialized_ward,sewage_overflow,mapped,true,
DRN-003,DRN,Blocked sanitary sewer,PUBLIC_HEALTH,PUBLIC,specialized_ward,sewage_overflow,mapped,true,
DRN-004,DRN,Open or unsafe manhole,SAFETY_HAZARD,PUBLIC,specialized_ward,open_manhole,mapped,true,
DRN-005,DRN,Missing or broken manhole cover,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
DRN-006,DRN,Collapsed sewer or drain,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
DRN-007,DRN,Damaged drain cover or grating,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
DRN-008,DRN,Waterlogging on a road,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
DRN-009,DRN,Flooded subway or underpass,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
DRN-010,DRN,Sewer backflow into a property,PUBLIC_HEALTH,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
DRN-011,DRN,Foul smell from a sewer,PUBLIC_HEALTH,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
