Reference Links,,,,,
Reference,Purpose,URL,Source Type,Used In,Last Checked
Maharashtra State Overview,State divisions and districts,https://sdma.maharashtra.gov.in/en/maharashtra/,Official,State Overview/Districts,2026-07-13
Maharashtra Directorate of Municipal Administration,Urban local-body oversight,https://mahadma.maharashtra.gov.in/en/home/,Official,Corporations/Councils/Nagar Panchayats,2026-07-13
DMA Municipal Corporations List,Official corporations list,https://mahadma.maharashtra.gov.in/en/list-of-corporation-2/,Official,Municipal Corporations,2026-07-13
DMA Municipal Councils/Nagar Panchayats List,Official ULB list,https://mahadma.maharashtra.gov.in/en/list-of-councils-2/,Official,Municipal Councils/Nagar Panchayats,2026-07-13
DMA FAQ,Official ULB count and DMA role,https://mahadma.maharashtra.gov.in/en/faq/,Official,State Overview,2026-07-13
Local Government Directory,LGD codes and local-body hierarchy,https://lgdirectory.gov.in/,Official,Talukas/GPs/Villages/Wards,2026-07-13
eGramSwaraj,Panchayat data and rural governance,https://egramswaraj.gov.in/,Official,Gram Panchayats,2026-07-13
Maharashtra SDMA,Emergency and disaster management,https://sdma.maharashtra.gov.in/en/,Official,Emergency Contacts,2026-07-13
District Emergency Contacts,Collector/RDC/DEOC/DDMO contacts,https://sdma.maharashtra.gov.in/en/districts-imp-contact-numbers-for-landing-page-of-website/,Official,Districts/Emergency Contacts,2026-07-13
Maharashtra Emergency Medical Services,108 ambulance,https://phd.maharashtra.gov.in/en/scheme/maharashtra-emergency-medical-services-mems/,Official,Emergency Contacts,2026-07-13
MSEDCL,Electric utility,https://www.mahadiscom.in/,Official,Utilities,2026-07-13
Maharashtra Jeevan Pradhikaran,Water utility/projects,https://mjp.maharashtra.gov.in/,Official,Utilities,2026-07-13
Maharashtra PWD,State roads and public works,https://pwd.maharashtra.gov.in/,Official,Utilities/Routing,2026-07-13
MSRDC,Expressways and road assets,https://msrdc.in/,Official,Utilities/Routing,2026-07-13
MIDC,Industrial area infrastructure,https://www.midcindia.org/,Official,Utilities/Routing,2026-07-13
MPCB,Pollution-control authority,https://mpcb.gov.in/,Official,Utilities/Routing,2026-07-13
