Districts,,,,,,,,,,
District,Revenue Division,Administrative Head,Rural Local Body Head,Emergency Office,Emergency Contact Pattern,Official Portal,Status,Verification Status,Last Verified,Source URL
Mumbai City,Konkan,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Mumbai Suburban,Konkan,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Thane,Konkan,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Palghar,Konkan,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Raigad,Konkan,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Ratnagiri,Konkan,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Sindhudurg,Konkan,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Pune,Pune,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Satara,Pune,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Sangli,Pune,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
