Departments,,,,,,,,
Department,Applicable Body,Complaint Types,First Recipient Role,Escalation 1,Escalation 2,Typical Coverage,Required Data,Priority
Solid Waste Management,Urban/Rural,"Garbage dump, missed collection, sweeping, dead animals",Sanitary Inspector / SWM Supervisor,Health Officer / Ward Officer,Municipal Commissioner / Chief Officer / Panchayat Secretary,Ward/beat,"Photo, GPS, waste type",High if biomedical/hazardous
Sanitation,Urban/Rural,"Missed sweeping, public toilet, unhygienic public space",Sanitation Supervisor / Health Inspector,Medical Officer of Health / Ward Officer,Commissioner / Chief Officer,Ward/beat,"Street segment, schedule, photo",Routine
Roads & Engineering,Urban/State,"Potholes, damaged roads, footpaths, dividers",Junior Engineer / Road Inspector,Assistant/Executive Engineer,Chief Engineer / Commissioner / PWD,Division/ward,"Road owner, dimensions, hazard",High if accident risk
Sewerage,Urban/Utility,"Sewage overflow, blocked sewer, open manhole",Sewer Inspector / JE,AE / Executive Engineer,Chief Engineer / Water Board,Ward/division,"Manhole/line ID, flow, health risk",High
Storm Water Drain,Urban/State,"Blocked drains, waterlogging, flooding",Drain Inspector / JE,AE / Ward Officer,Chief Engineer / Commissioner / DDMA,Ward/catchment,"Drain ID, water depth, rainfall",High/monsoon
Water Supply / Hydraulic,Urban/Rural/Utility,"Leakage, no supply, low pressure, contamination",Valve Operator / JE,AE / Executive Engineer,Chief Engineer / MJP / Commissioner,Service zone,"Pipeline/valve ID, contamination",High
Electrical / Street Lighting,Urban/Utility,"Broken streetlight, exposed wire, damaged pole",Electrician / Lighting Inspector,Electrical Engineer / AE,Executive Engineer / MSEDCL/ULB,Ward/circuit,"Pole ID, outage, live-wire flag",Emergency if live wire
Garden / Horticulture / Tree Authority,Urban/Forest,"Fallen tree, unsafe tree, park damage",Garden Inspector / Tree Officer,Horticulture Officer / Ward Officer,Commissioner / DDMA,Ward/park,"Tree location, obstruction, power-line contact",High
Building Proposal / Town Planning,Urban/Development Authority,"Illegal construction, unsafe building",Building Inspector / JE,Assistant Town Planner / Building Officer,Commissioner / Authority CEO,Ward/planning zone,"Property ID, stage, safety risk",Enforcement
Veterinary / Animal Husbandry,Urban/Rural,"Stray animal, injured animal, carcass",Veterinary Inspector / Catching Team,Veterinary Officer,Chief Veterinary Officer / Commissioner,Ward/block,"Species, aggression, injury",High if attack/rabies
Public Health / Pest Control,Urban/Rural,"Mosquito breeding, vectors, unhygienic premises",Health Inspector / Pest Control Officer,Medical Officer of Health,Chief Health Officer / Commissioner,Ward/beat,"Stagnant water, larvae, premises",Public health
Encroachment / Estate / Revenue,Urban/State,"Footpath obstruction, illegal occupation, public land",Enforcement Inspector,Ward Officer / Estate Officer,Commissioner / District Collector,Ward/property,"Land owner, obstruction, evidence",Legal
Traffic Police / Traffic Engineering,City/Police,"Signal failure, unsafe junction, traffic obstruction",Signal Technician / Traffic Inspector,Traffic Engineer / ACP-DSP Traffic,DCP-SP Traffic / Commissioner,Junction/road,"Signal ID, congestion, road owner",High
Fire & Emergency Services,State/ULB,"Fire hazard, active fire, rescue",Station Officer,Divisional Fire Officer,Chief Fire Officer / District Collector,Station jurisdiction,Immediate location and access,Emergency 112/101
Disaster Management,State/District/ULB,"Flood, collapse, landslide, major tree fall",Control Room / DDMO,Resident Deputy Collector / Ward Disaster Officer,Collector / SDMA,District/city,"Hazard severity, affected population",Emergency
Environment / Pollution Control,State/ULB,"Air, water, noise, waste burning, industrial pollution",Environmental Engineer / Inspector,Regional Officer MPCB,Member Secretary MPCB,Regional office,"Source, duration, evidence",Environmental
