"rule_code","category_code","category_description","asset_type","primary_department_code","first_scope","first_recipient_role","ward_fallback_role","department_escalation_code","final_fallback_channel","priority","asset_owner_required","verification_status","demo_active","production_active","notes"
"BMC_R001","garbage_dump","Solid waste on road/public land","","BMC_SWM","ward","AE_SWM_or_AHS_SWM","Ward Assistant Commissioner","BMC_SWM","BMC_1916","normal","false","source_backed_proposal","true","false","Route internally to ward role/test account; do not auto-email public officer before approval"
"BMC_R002","missed_sweeping","Missed road/public-space sweeping","","BMC_SWM","ward","AHS_SWM_or_sanitation_supervisor","Ward Assistant Commissioner","BMC_SWM","BMC_1916","normal","false","source_backed_proposal","true","false","Ward SWM/sanitation role preferred"
"BMC_R003","pothole","Pothole or damaged municipal road","municipal_road","BMC_ROADS_TRAFFIC","ward","AE_Maintenance_or_Executive_Engineer","Ward Assistant Commissioner","BMC_ENGINEERING","BMC_1916","high_if_hazard","true","source_backed_proposal","true","false","Confirm BMC road ownership; NHAI/MMRDA/MSRDC roads need another owner"
"BMC_R004","blocked_drain","Blocked storm-water drain","storm_water_drain","BMC_SWD","ward","AE_Maintenance_or_drainage_role","Ward Assistant Commissioner","BMC_SWD","BMC_1916","high_during_monsoon","true","source_backed_proposal","true","false","Asset type must distinguish storm-water from sanitary sewer"
"BMC_R005","sewage_overflow","Sewage overflow or blocked sanitary sewer","sanitary_sewer","BMC_SEWERAGE_OPERATIONS","ward","AE_Maintenance_or_sewerage_role","Ward Assistant Commissioner","BMC_SEWERAGE_OPERATIONS","BMC_SEWERAGE_HELPLINE","high","true","source_backed_proposal","true","false","Use 9324500600 as official reference fallback"
"BMC_R006","water_leakage","Municipal water-line leakage","water_distribution_asset","BMC_HYDRAULIC","ward","AE_Water_Works","Ward Assistant Commissioner","BMC_HYDRAULIC","BMC_1916","high","true","source_backed_proposal","true","false","Confirm asset is BMC water network"
"BMC_R007","broken_streetlight","Broken municipal streetlight","streetlight","BMC_ME","ward","AE_Maintenance_or_Electrical","Ward Assistant Commissioner","BMC_ME","BMC_1916","normal_or_high","true","source_backed_proposal","true","false","Confirm municipal versus utility-owned pole"
"BMC_R008","open_manhole","Open or unsafe manhole","unknown_manhole","BMC_SEWERAGE_OPERATIONS","ward","AE_Maintenance","Ward Assistant Commissioner","BMC_SWD","BMC_1916","emergency_hazard","true","manual_asset_review_required","true","false","If asset type unclear, route to ward review queue and display emergency warning"
"BMC_R009","mosquito_breeding","Mosquito breeding or stagnant water","","BMC_PUBLIC_HEALTH","ward","Medical_Officer_Health","Ward Assistant Commissioner","BMC_PUBLIC_HEALTH","BMC_1916","public_health","false","source_backed_proposal","true","false","Ward MOH is preferred operational recipient"
"BMC_R010","illegal_construction","Suspected unauthorized construction","building","BMC_DP_BUILDING","ward","AE_Building_and_Factory","Ward Assistant Commissioner","BMC_ENGINEERING","BMC_1916","enforcement","true","source_backed_proposal","true","false","Do not publicly accuse an individual; evidence and moderation required"
"BMC_R011","encroachment","Encroachment on public road/footpath/municipal land","public_land_or_road","BMC_ENCROACHMENT_CITY","ward","Senior_Inspector_Encroachment","Ward Assistant Commissioner","regional_encroachment_contact","BMC_1916","enforcement","true","source_backed_proposal","true","false","Select city/west/east regional escalation from ward location"
"BMC_R012","fallen_tree","Fallen or dangerous tree","tree_or_garden_asset","BMC_GARDEN","ward","Garden_Officer_or_Ward_Control_Room","Ward Assistant Commissioner","BMC_GARDEN","BMC_1916","high_or_emergency","true","source_backed_proposal","true","false","If blocking road or touching power line, show emergency instructions"
"BMC_R013","traffic_signal","Traffic signal failure","traffic_signal","BMC_ROADS_TRAFFIC","ward","Traffic_Engineering_or_Ward_Engineer","Ward Assistant Commissioner","BMC_ROADS_TRAFFIC","BMC_1916","high","true","partial_external_agency_dependency","true","false","Mumbai Traffic Police may also be responsible; keep external-agency review"
"BMC_R014","fire_hazard","Active fire or immediate fire risk","fire_emergency","BMC_FIRE","citywide","Fire_Control","Chief Fire Officer","BMC_FIRE","BMC_FIRE_EMERGENCY","emergency","false","official_emergency_path","true","false","Do not treat normal complaint submission as emergency dispatch"
